Reference tree: ../data/appbio11/symmetric_0.5/symmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s101.align.1.msl.nwk	6
s054.align.1.msl.nwk	4
s175.align.1.msl.nwk	6
s069.align.1.msl.nwk	2
s134.align.1.msl.nwk	4
s174.align.1.msl.nwk	6
s177.align.1.msl.nwk	4
s046.align.1.msl.nwk	0
s013.align.1.msl.nwk	4
s050.align.1.msl.nwk	6
s047.align.1.msl.nwk	4
s002.align.1.msl.nwk	4
s133.align.1.msl.nwk	6
s260.align.1.msl.nwk	6
s163.align.1.msl.nwk	4
s270.align.1.msl.nwk	6
s254.align.1.msl.nwk	2
s237.align.1.msl.nwk	4
s294.align.1.msl.nwk	8
s075.align.1.msl.nwk	4
s208.align.1.msl.nwk	2
s020.align.1.msl.nwk	6
s292.align.1.msl.nwk	0
s035.align.1.msl.nwk	8
s065.align.1.msl.nwk	2
s219.align.1.msl.nwk	4
s300.align.1.msl.nwk	2
s108.align.1.msl.nwk	4
s293.align.1.msl.nwk	4
s226.align.1.msl.nwk	6
s066.align.1.msl.nwk	0
s093.align.1.msl.nwk	2
s269.align.1.msl.nwk	6
s109.align.1.msl.nwk	4
s019.align.1.msl.nwk	8
s014.align.1.msl.nwk	8
s257.align.1.msl.nwk	4
s165.align.1.msl.nwk	4
s039.align.1.msl.nwk	4
s273.align.1.msl.nwk	8
s040.align.1.msl.nwk	4
s032.align.1.msl.nwk	2
s125.align.1.msl.nwk	6
s197.align.1.msl.nwk	6
s246.align.1.msl.nwk	6
s298.align.1.msl.nwk	4
s142.align.1.msl.nwk	10
s058.align.1.msl.nwk	2
s081.align.1.msl.nwk	4
s156.align.1.msl.nwk	0
s285.align.1.msl.nwk	2
s089.align.1.msl.nwk	6
s216.align.1.msl.nwk	2
s105.align.1.msl.nwk	2
s082.align.1.msl.nwk	6
s244.align.1.msl.nwk	2
s179.align.1.msl.nwk	4
s102.align.1.msl.nwk	6
s009.align.1.msl.nwk	6
s088.align.1.msl.nwk	4
s195.align.1.msl.nwk	4
s169.align.1.msl.nwk	2
s113.align.1.msl.nwk	2
s252.align.1.msl.nwk	4
s256.align.1.msl.nwk	6
s063.align.1.msl.nwk	4
s018.align.1.msl.nwk	4
s228.align.1.msl.nwk	4
s180.align.1.msl.nwk	6
s100.align.1.msl.nwk	2
s291.align.1.msl.nwk	2
s107.align.1.msl.nwk	2
s204.align.1.msl.nwk	6
s031.align.1.msl.nwk	4
s008.align.1.msl.nwk	4
s029.align.1.msl.nwk	4
s120.align.1.msl.nwk	2
s245.align.1.msl.nwk	4
s274.align.1.msl.nwk	4
s249.align.1.msl.nwk	6
s079.align.1.msl.nwk	6
s272.align.1.msl.nwk	4
s190.align.1.msl.nwk	0
s122.align.1.msl.nwk	2
s275.align.1.msl.nwk	6
s080.align.1.msl.nwk	8
s182.align.1.msl.nwk	2
s076.align.1.msl.nwk	2
s103.align.1.msl.nwk	4
s028.align.1.msl.nwk	2
s232.align.1.msl.nwk	6
s187.align.1.msl.nwk	2
s159.align.1.msl.nwk	4
s235.align.1.msl.nwk	8
s015.align.1.msl.nwk	4
s086.align.1.msl.nwk	4
s106.align.1.msl.nwk	4
s220.align.1.msl.nwk	4
s161.align.1.msl.nwk	2
s209.align.1.msl.nwk	4
s104.align.1.msl.nwk	2
s193.align.1.msl.nwk	4
s095.align.1.msl.nwk	6
s217.align.1.msl.nwk	6
s084.align.1.msl.nwk	2
s299.align.1.msl.nwk	2
s188.align.1.msl.nwk	0
s201.align.1.msl.nwk	4
s198.align.1.msl.nwk	6
s290.align.1.msl.nwk	6
s211.align.1.msl.nwk	8
s136.align.1.msl.nwk	2
s194.align.1.msl.nwk	6
s127.align.1.msl.nwk	8
s280.align.1.msl.nwk	2
s267.align.1.msl.nwk	0
s003.align.1.msl.nwk	8
s096.align.1.msl.nwk	4
s199.align.1.msl.nwk	2
s297.align.1.msl.nwk	6
s186.align.1.msl.nwk	6
s221.align.1.msl.nwk	6
s229.align.1.msl.nwk	2
s141.align.1.msl.nwk	4
s278.align.1.msl.nwk	6
s062.align.1.msl.nwk	6
s264.align.1.msl.nwk	12
s243.align.1.msl.nwk	8
s233.align.1.msl.nwk	8
s263.align.1.msl.nwk	0
s117.align.1.msl.nwk	4
s296.align.1.msl.nwk	6
s119.align.1.msl.nwk	2
s126.align.1.msl.nwk	6
s251.align.1.msl.nwk	6
s099.align.1.msl.nwk	2
s206.align.1.msl.nwk	4
s112.align.1.msl.nwk	2
s214.align.1.msl.nwk	2
s196.align.1.msl.nwk	6
s012.align.1.msl.nwk	0
s094.align.1.msl.nwk	4
s253.align.1.msl.nwk	4
s162.align.1.msl.nwk	6
s057.align.1.msl.nwk	6
s212.align.1.msl.nwk	6
s184.align.1.msl.nwk	4
s056.align.1.msl.nwk	4
s215.align.1.msl.nwk	6
s147.align.1.msl.nwk	4
s042.align.1.msl.nwk	4
s078.align.1.msl.nwk	8
s276.align.1.msl.nwk	2
s111.align.1.msl.nwk	4
s068.align.1.msl.nwk	6
s157.align.1.msl.nwk	2
s123.align.1.msl.nwk	4
s121.align.1.msl.nwk	6
s077.align.1.msl.nwk	2
s016.align.1.msl.nwk	4
s004.align.1.msl.nwk	4
s258.align.1.msl.nwk	2
s250.align.1.msl.nwk	4
s022.align.1.msl.nwk	8
s049.align.1.msl.nwk	4
s282.align.1.msl.nwk	4
s092.align.1.msl.nwk	2
s128.align.1.msl.nwk	10
s288.align.1.msl.nwk	6
s146.align.1.msl.nwk	6
s051.align.1.msl.nwk	0
s283.align.1.msl.nwk	0
s025.align.1.msl.nwk	4
s115.align.1.msl.nwk	6
s110.align.1.msl.nwk	4
s148.align.1.msl.nwk	2
s073.align.1.msl.nwk	0
s167.align.1.msl.nwk	10
s124.align.1.msl.nwk	10
s034.align.1.msl.nwk	2
s173.align.1.msl.nwk	6
s129.align.1.msl.nwk	4
s118.align.1.msl.nwk	4
s181.align.1.msl.nwk	6
s023.align.1.msl.nwk	4
s150.align.1.msl.nwk	0
s247.align.1.msl.nwk	2
s160.align.1.msl.nwk	4
s017.align.1.msl.nwk	8
s044.align.1.msl.nwk	6
s223.align.1.msl.nwk	6
s087.align.1.msl.nwk	4
s279.align.1.msl.nwk	6
s071.align.1.msl.nwk	4
s064.align.1.msl.nwk	2
s281.align.1.msl.nwk	8
s189.align.1.msl.nwk	2
s268.align.1.msl.nwk	0
s225.align.1.msl.nwk	6
s038.align.1.msl.nwk	2
s284.align.1.msl.nwk	4
s205.align.1.msl.nwk	8
s145.align.1.msl.nwk	4
s172.align.1.msl.nwk	6
s222.align.1.msl.nwk	4
s011.align.1.msl.nwk	2
