Reference tree: appbio11/asymmetric_1.0/asymmetric_1.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.txt.nwk	8
s002.align.1.msl.txt.nwk	8
s003.align.1.msl.txt.nwk	20
s004.align.1.msl.txt.nwk	10
s005.align.1.msl.txt.nwk	6
s006.align.1.msl.txt.nwk	16
s007.align.1.msl.txt.nwk	10
s008.align.1.msl.txt.nwk	10
s009.align.1.msl.txt.nwk	4
s010.align.1.msl.txt.nwk	8
s011.align.1.msl.txt.nwk	10
s012.align.1.msl.txt.nwk	4
s013.align.1.msl.txt.nwk	10
s014.align.1.msl.txt.nwk	10
s015.align.1.msl.txt.nwk	10
s016.align.1.msl.txt.nwk	6
s017.align.1.msl.txt.nwk	8
s018.align.1.msl.txt.nwk	6
s019.align.1.msl.txt.nwk	6
s020.align.1.msl.txt.nwk	6
s021.align.1.msl.txt.nwk	4
s022.align.1.msl.txt.nwk	14
s023.align.1.msl.txt.nwk	10
s024.align.1.msl.txt.nwk	6
s025.align.1.msl.txt.nwk	6
s026.align.1.msl.txt.nwk	6
s027.align.1.msl.txt.nwk	10
s028.align.1.msl.txt.nwk	8
s029.align.1.msl.txt.nwk	10
s030.align.1.msl.txt.nwk	10
s031.align.1.msl.txt.nwk	12
s032.align.1.msl.txt.nwk	8
s033.align.1.msl.txt.nwk	14
s034.align.1.msl.txt.nwk	12
s035.align.1.msl.txt.nwk	16
s036.align.1.msl.txt.nwk	8
s037.align.1.msl.txt.nwk	8
s038.align.1.msl.txt.nwk	6
s039.align.1.msl.txt.nwk	4
s040.align.1.msl.txt.nwk	4
s041.align.1.msl.txt.nwk	12
s042.align.1.msl.txt.nwk	6
s043.align.1.msl.txt.nwk	10
s044.align.1.msl.txt.nwk	12
s045.align.1.msl.txt.nwk	12
s046.align.1.msl.txt.nwk	14
s047.align.1.msl.txt.nwk	14
s048.align.1.msl.txt.nwk	12
s049.align.1.msl.txt.nwk	6
s050.align.1.msl.txt.nwk	4
s051.align.1.msl.txt.nwk	14
s052.align.1.msl.txt.nwk	8
s053.align.1.msl.txt.nwk	6
s054.align.1.msl.txt.nwk	8
s055.align.1.msl.txt.nwk	6
s056.align.1.msl.txt.nwk	8
s057.align.1.msl.txt.nwk	10
s058.align.1.msl.txt.nwk	10
s059.align.1.msl.txt.nwk	10
s060.align.1.msl.txt.nwk	8
s061.align.1.msl.txt.nwk	8
s062.align.1.msl.txt.nwk	2
s063.align.1.msl.txt.nwk	6
s064.align.1.msl.txt.nwk	8
s065.align.1.msl.txt.nwk	10
s066.align.1.msl.txt.nwk	14
s067.align.1.msl.txt.nwk	8
s068.align.1.msl.txt.nwk	8
s069.align.1.msl.txt.nwk	12
s070.align.1.msl.txt.nwk	14
s071.align.1.msl.txt.nwk	10
s072.align.1.msl.txt.nwk	8
s073.align.1.msl.txt.nwk	10
s074.align.1.msl.txt.nwk	12
s075.align.1.msl.txt.nwk	8
s076.align.1.msl.txt.nwk	10
s077.align.1.msl.txt.nwk	12
s078.align.1.msl.txt.nwk	6
s079.align.1.msl.txt.nwk	6
s080.align.1.msl.txt.nwk	10
s081.align.1.msl.txt.nwk	8
s082.align.1.msl.txt.nwk	8
s083.align.1.msl.txt.nwk	10
s084.align.1.msl.txt.nwk	8
s085.align.1.msl.txt.nwk	8
s086.align.1.msl.txt.nwk	16
s087.align.1.msl.txt.nwk	6
s088.align.1.msl.txt.nwk	10
s089.align.1.msl.txt.nwk	8
s090.align.1.msl.txt.nwk	4
s091.align.1.msl.txt.nwk	8
s092.align.1.msl.txt.nwk	14
s093.align.1.msl.txt.nwk	6
s094.align.1.msl.txt.nwk	8
s095.align.1.msl.txt.nwk	12
s096.align.1.msl.txt.nwk	16
s097.align.1.msl.txt.nwk	4
s098.align.1.msl.txt.nwk	8
s099.align.1.msl.txt.nwk	8
s100.align.1.msl.txt.nwk	10
s101.align.1.msl.txt.nwk	12
s102.align.1.msl.txt.nwk	12
s103.align.1.msl.txt.nwk	12
s104.align.1.msl.txt.nwk	6
s105.align.1.msl.txt.nwk	18
s106.align.1.msl.txt.nwk	6
s107.align.1.msl.txt.nwk	12
s108.align.1.msl.txt.nwk	6
s109.align.1.msl.txt.nwk	10
s110.align.1.msl.txt.nwk	12
s111.align.1.msl.txt.nwk	4
s112.align.1.msl.txt.nwk	4
s113.align.1.msl.txt.nwk	12
s114.align.1.msl.txt.nwk	10
s115.align.1.msl.txt.nwk	6
s116.align.1.msl.txt.nwk	14
s117.align.1.msl.txt.nwk	12
s118.align.1.msl.txt.nwk	10
s119.align.1.msl.txt.nwk	18
s120.align.1.msl.txt.nwk	12
s121.align.1.msl.txt.nwk	10
s122.align.1.msl.txt.nwk	14
s123.align.1.msl.txt.nwk	12
s124.align.1.msl.txt.nwk	8
s125.align.1.msl.txt.nwk	10
s126.align.1.msl.txt.nwk	10
s127.align.1.msl.txt.nwk	10
s128.align.1.msl.txt.nwk	8
s129.align.1.msl.txt.nwk	8
s130.align.1.msl.txt.nwk	8
s131.align.1.msl.txt.nwk	12
s132.align.1.msl.txt.nwk	12
s133.align.1.msl.txt.nwk	4
s134.align.1.msl.txt.nwk	6
s135.align.1.msl.txt.nwk	8
s136.align.1.msl.txt.nwk	16
s137.align.1.msl.txt.nwk	8
s138.align.1.msl.txt.nwk	6
s139.align.1.msl.txt.nwk	6
s140.align.1.msl.txt.nwk	10
s141.align.1.msl.txt.nwk	12
s142.align.1.msl.txt.nwk	8
s143.align.1.msl.txt.nwk	8
