Reference tree: appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.txt.nwk	6
s002.align.1.msl.txt.nwk	8
s003.align.1.msl.txt.nwk	2
s004.align.1.msl.txt.nwk	4
s005.align.1.msl.txt.nwk	8
s006.align.1.msl.txt.nwk	2
s007.align.1.msl.txt.nwk	6
s008.align.1.msl.txt.nwk	6
s009.align.1.msl.txt.nwk	2
s010.align.1.msl.txt.nwk	10
s011.align.1.msl.txt.nwk	6
s012.align.1.msl.txt.nwk	2
s013.align.1.msl.txt.nwk	10
s014.align.1.msl.txt.nwk	10
s015.align.1.msl.txt.nwk	10
s016.align.1.msl.txt.nwk	10
s017.align.1.msl.txt.nwk	10
s018.align.1.msl.txt.nwk	2
s019.align.1.msl.txt.nwk	8
s020.align.1.msl.txt.nwk	0
s021.align.1.msl.txt.nwk	12
s022.align.1.msl.txt.nwk	10
s023.align.1.msl.txt.nwk	6
s024.align.1.msl.txt.nwk	12
s025.align.1.msl.txt.nwk	14
s026.align.1.msl.txt.nwk	12
s027.align.1.msl.txt.nwk	12
s028.align.1.msl.txt.nwk	0
s029.align.1.msl.txt.nwk	8
s030.align.1.msl.txt.nwk	8
s031.align.1.msl.txt.nwk	12
s032.align.1.msl.txt.nwk	4
s033.align.1.msl.txt.nwk	0
s034.align.1.msl.txt.nwk	6
s035.align.1.msl.txt.nwk	10
s036.align.1.msl.txt.nwk	6
s037.align.1.msl.txt.nwk	10
s038.align.1.msl.txt.nwk	12
s039.align.1.msl.txt.nwk	10
s040.align.1.msl.txt.nwk	10
s041.align.1.msl.txt.nwk	2
s042.align.1.msl.txt.nwk	4
s043.align.1.msl.txt.nwk	8
s044.align.1.msl.txt.nwk	2
s045.align.1.msl.txt.nwk	4
s046.align.1.msl.txt.nwk	6
s047.align.1.msl.txt.nwk	12
s048.align.1.msl.txt.nwk	6
s049.align.1.msl.txt.nwk	6
s050.align.1.msl.txt.nwk	6
s051.align.1.msl.txt.nwk	2
s052.align.1.msl.txt.nwk	10
s053.align.1.msl.txt.nwk	6
s054.align.1.msl.txt.nwk	4
s055.align.1.msl.txt.nwk	12
s056.align.1.msl.txt.nwk	10
s057.align.1.msl.txt.nwk	10
s058.align.1.msl.txt.nwk	8
s059.align.1.msl.txt.nwk	0
s060.align.1.msl.txt.nwk	8
s061.align.1.msl.txt.nwk	6
s062.align.1.msl.txt.nwk	10
s063.align.1.msl.txt.nwk	6
s064.align.1.msl.txt.nwk	6
s065.align.1.msl.txt.nwk	2
s066.align.1.msl.txt.nwk	6
s067.align.1.msl.txt.nwk	6
s068.align.1.msl.txt.nwk	10
s069.align.1.msl.txt.nwk	2
s070.align.1.msl.txt.nwk	8
s071.align.1.msl.txt.nwk	2
s072.align.1.msl.txt.nwk	10
s073.align.1.msl.txt.nwk	4
s074.align.1.msl.txt.nwk	6
s075.align.1.msl.txt.nwk	4
s076.align.1.msl.txt.nwk	6
s077.align.1.msl.txt.nwk	12
s078.align.1.msl.txt.nwk	16
s079.align.1.msl.txt.nwk	6
s080.align.1.msl.txt.nwk	6
s081.align.1.msl.txt.nwk	4
s082.align.1.msl.txt.nwk	8
s083.align.1.msl.txt.nwk	6
s084.align.1.msl.txt.nwk	10
s085.align.1.msl.txt.nwk	2
s086.align.1.msl.txt.nwk	6
s087.align.1.msl.txt.nwk	12
s088.align.1.msl.txt.nwk	6
s089.align.1.msl.txt.nwk	4
s090.align.1.msl.txt.nwk	8
s091.align.1.msl.txt.nwk	10
s092.align.1.msl.txt.nwk	10
s093.align.1.msl.txt.nwk	8
s094.align.1.msl.txt.nwk	8
s095.align.1.msl.txt.nwk	10
s096.align.1.msl.txt.nwk	6
s097.align.1.msl.txt.nwk	6
s098.align.1.msl.txt.nwk	10
s099.align.1.msl.txt.nwk	8
s100.align.1.msl.txt.nwk	6
s101.align.1.msl.txt.nwk	4
s102.align.1.msl.txt.nwk	6
s103.align.1.msl.txt.nwk	0
s104.align.1.msl.txt.nwk	8
s105.align.1.msl.txt.nwk	10
s106.align.1.msl.txt.nwk	12
s107.align.1.msl.txt.nwk	6
s108.align.1.msl.txt.nwk	8
s109.align.1.msl.txt.nwk	14
s110.align.1.msl.txt.nwk	12
s111.align.1.msl.txt.nwk	8
s112.align.1.msl.txt.nwk	10
s113.align.1.msl.txt.nwk	2
s114.align.1.msl.txt.nwk	6
s115.align.1.msl.txt.nwk	14
s116.align.1.msl.txt.nwk	6
s117.align.1.msl.txt.nwk	6
s118.align.1.msl.txt.nwk	6
s119.align.1.msl.txt.nwk	6
s120.align.1.msl.txt.nwk	4
s121.align.1.msl.txt.nwk	8
s122.align.1.msl.txt.nwk	6
s123.align.1.msl.txt.nwk	10
s124.align.1.msl.txt.nwk	10
s125.align.1.msl.txt.nwk	14
s126.align.1.msl.txt.nwk	10
s127.align.1.msl.txt.nwk	6
s128.align.1.msl.txt.nwk	6
s129.align.1.msl.txt.nwk	8
s130.align.1.msl.txt.nwk	6
s131.align.1.msl.txt.nwk	2
s132.align.1.msl.txt.nwk	10
s133.align.1.msl.txt.nwk	6
s134.align.1.msl.txt.nwk	2
s135.align.1.msl.txt.nwk	8
s136.align.1.msl.txt.nwk	10
s137.align.1.msl.txt.nwk	8
s138.align.1.msl.txt.nwk	6
s139.align.1.msl.txt.nwk	8
s140.align.1.msl.txt.nwk	6
s141.align.1.msl.txt.nwk	6
s142.align.1.msl.txt.nwk	4
s143.align.1.msl.txt.nwk	4
s144.align.1.msl.txt.nwk	8
s145.align.1.msl.txt.nwk	12
s146.align.1.msl.txt.nwk	2
s147.align.1.msl.txt.nwk	8
s148.align.1.msl.txt.nwk	8
s149.align.1.msl.txt.nwk	4
s150.align.1.msl.txt.nwk	8
s151.align.1.msl.txt.nwk	14
s152.align.1.msl.txt.nwk	10
s153.align.1.msl.txt.nwk	2
s154.align.1.msl.txt.nwk	12
s155.align.1.msl.txt.nwk	8
s156.align.1.msl.txt.nwk	10
s157.align.1.msl.txt.nwk	8
s158.align.1.msl.txt.nwk	4
s159.align.1.msl.txt.nwk	2
s160.align.1.msl.txt.nwk	10
s161.align.1.msl.txt.nwk	8
s162.align.1.msl.txt.nwk	10
s163.align.1.msl.txt.nwk	8
s164.align.1.msl.txt.nwk	8
s165.align.1.msl.txt.nwk	12
s166.align.1.msl.txt.nwk	2
s167.align.1.msl.txt.nwk	10
s168.align.1.msl.txt.nwk	4
s169.align.1.msl.txt.nwk	8
s170.align.1.msl.txt.nwk	6
s171.align.1.msl.txt.nwk	8
s172.align.1.msl.txt.nwk	4
s173.align.1.msl.txt.nwk	6
s174.align.1.msl.txt.nwk	4
s175.align.1.msl.txt.nwk	8
s176.align.1.msl.txt.nwk	4
s177.align.1.msl.txt.nwk	6
s178.align.1.msl.txt.nwk	10
s179.align.1.msl.txt.nwk	4
s180.align.1.msl.txt.nwk	8
s181.align.1.msl.txt.nwk	2
s182.align.1.msl.txt.nwk	2
s183.align.1.msl.txt.nwk	2
s184.align.1.msl.txt.nwk	8
s185.align.1.msl.txt.nwk	8
s186.align.1.msl.txt.nwk	10
s187.align.1.msl.txt.nwk	4
s188.align.1.msl.txt.nwk	12
s189.align.1.msl.txt.nwk	6
s190.align.1.msl.txt.nwk	6
s191.align.1.msl.txt.nwk	6
s192.align.1.msl.txt.nwk	4
s193.align.1.msl.txt.nwk	2
s194.align.1.msl.txt.nwk	8
s195.align.1.msl.txt.nwk	0
s196.align.1.msl.txt.nwk	0
s197.align.1.msl.txt.nwk	8
s198.align.1.msl.txt.nwk	4
s199.align.1.msl.txt.nwk	4
s200.align.1.msl.txt.nwk	8
s201.align.1.msl.txt.nwk	12
s202.align.1.msl.txt.nwk	4
s203.align.1.msl.txt.nwk	10
s204.align.1.msl.txt.nwk	14
s205.align.1.msl.txt.nwk	10
s206.align.1.msl.txt.nwk	8
s207.align.1.msl.txt.nwk	6
s208.align.1.msl.txt.nwk	2
s209.align.1.msl.txt.nwk	8
s210.align.1.msl.txt.nwk	6
s211.align.1.msl.txt.nwk	4
s212.align.1.msl.txt.nwk	4
s213.align.1.msl.txt.nwk	8
s214.align.1.msl.txt.nwk	0
s215.align.1.msl.txt.nwk	8
s216.align.1.msl.txt.nwk	0
s217.align.1.msl.txt.nwk	4
s218.align.1.msl.txt.nwk	12
s219.align.1.msl.txt.nwk	14
s220.align.1.msl.txt.nwk	8
s221.align.1.msl.txt.nwk	10
s222.align.1.msl.txt.nwk	6
s223.align.1.msl.txt.nwk	14
s224.align.1.msl.txt.nwk	12
s225.align.1.msl.txt.nwk	10
s226.align.1.msl.txt.nwk	6
s227.align.1.msl.txt.nwk	14
s228.align.1.msl.txt.nwk	8
s229.align.1.msl.txt.nwk	8
s230.align.1.msl.txt.nwk	10
s231.align.1.msl.txt.nwk	8
s232.align.1.msl.txt.nwk	6
s233.align.1.msl.txt.nwk	6
s234.align.1.msl.txt.nwk	10
s235.align.1.msl.txt.nwk	2
s236.align.1.msl.txt.nwk	8
s237.align.1.msl.txt.nwk	4
s238.align.1.msl.txt.nwk	2
s239.align.1.msl.txt.nwk	10
s240.align.1.msl.txt.nwk	6
s241.align.1.msl.txt.nwk	8
s242.align.1.msl.txt.nwk	12
s243.align.1.msl.txt.nwk	6
s244.align.1.msl.txt.nwk	12
s245.align.1.msl.txt.nwk	8
s246.align.1.msl.txt.nwk	6
s247.align.1.msl.txt.nwk	6
s248.align.1.msl.txt.nwk	10
s249.align.1.msl.txt.nwk	8
s250.align.1.msl.txt.nwk	2
s251.align.1.msl.txt.nwk	10
s252.align.1.msl.txt.nwk	8
