Reference tree: ../data/appbio11/symmetric_0.5/symmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s165.align.1.msl.msl.nwk	2
s166.align.1.msl.msl.nwk	6
s167.align.1.msl.msl.nwk	8
s168.align.1.msl.msl.nwk	2
s169.align.1.msl.msl.nwk	2
s170.align.1.msl.msl.nwk	0
s171.align.1.msl.msl.nwk	2
s172.align.1.msl.msl.nwk	4
s173.align.1.msl.msl.nwk	6
s174.align.1.msl.msl.nwk	8
s175.align.1.msl.msl.nwk	6
s176.align.1.msl.msl.nwk	6
s177.align.1.msl.msl.nwk	4
s178.align.1.msl.msl.nwk	4
s179.align.1.msl.msl.nwk	4
s180.align.1.msl.msl.nwk	6
s181.align.1.msl.msl.nwk	6
s182.align.1.msl.msl.nwk	2
s183.align.1.msl.msl.nwk	0
s184.align.1.msl.msl.nwk	6
s185.align.1.msl.msl.nwk	6
s186.align.1.msl.msl.nwk	6
s187.align.1.msl.msl.nwk	2
s188.align.1.msl.msl.nwk	0
s189.align.1.msl.msl.nwk	2
s190.align.1.msl.msl.nwk	0
s191.align.1.msl.msl.nwk	2
s192.align.1.msl.msl.nwk	0
s193.align.1.msl.msl.nwk	4
s194.align.1.msl.msl.nwk	6
s195.align.1.msl.msl.nwk	6
s196.align.1.msl.msl.nwk	6
s197.align.1.msl.msl.nwk	6
s198.align.1.msl.msl.nwk	6
s199.align.1.msl.msl.nwk	2
s200.align.1.msl.msl.nwk	2
s201.align.1.msl.msl.nwk	10
s202.align.1.msl.msl.nwk	8
s203.align.1.msl.msl.nwk	6
s204.align.1.msl.msl.nwk	6
s205.align.1.msl.msl.nwk	8
s206.align.1.msl.msl.nwk	6
s207.align.1.msl.msl.nwk	2
s208.align.1.msl.msl.nwk	2
s209.align.1.msl.msl.nwk	4
s210.align.1.msl.msl.nwk	4
s211.align.1.msl.msl.nwk	8
s212.align.1.msl.msl.nwk	6
s213.align.1.msl.msl.nwk	4
s214.align.1.msl.msl.nwk	2
s215.align.1.msl.msl.nwk	4
s216.align.1.msl.msl.nwk	4
s217.align.1.msl.msl.nwk	12
s218.align.1.msl.msl.nwk	4
s219.align.1.msl.msl.nwk	4
s220.align.1.msl.msl.nwk	4
s221.align.1.msl.msl.nwk	6
s222.align.1.msl.msl.nwk	4
s223.align.1.msl.msl.nwk	6
s224.align.1.msl.msl.nwk	4
s225.align.1.msl.msl.nwk	8
s226.align.1.msl.msl.nwk	4
s227.align.1.msl.msl.nwk	4
s228.align.1.msl.msl.nwk	4
s229.align.1.msl.msl.nwk	2
s230.align.1.msl.msl.nwk	4
s231.align.1.msl.msl.nwk	4
s232.align.1.msl.msl.nwk	6
s233.align.1.msl.msl.nwk	8
s234.align.1.msl.msl.nwk	4
s235.align.1.msl.msl.nwk	4
s236.align.1.msl.msl.nwk	4
s237.align.1.msl.msl.nwk	4
s238.align.1.msl.msl.nwk	2
s239.align.1.msl.msl.nwk	4
s240.align.1.msl.msl.nwk	2
s241.align.1.msl.msl.nwk	0
s242.align.1.msl.msl.nwk	6
s243.align.1.msl.msl.nwk	4
s244.align.1.msl.msl.nwk	6
s245.align.1.msl.msl.nwk	4
s246.align.1.msl.msl.nwk	6
s247.align.1.msl.msl.nwk	2
s248.align.1.msl.msl.nwk	0
s249.align.1.msl.msl.nwk	6
s250.align.1.msl.msl.nwk	6
s251.align.1.msl.msl.nwk	4
s252.align.1.msl.msl.nwk	4
s253.align.1.msl.msl.nwk	4
s254.align.1.msl.msl.nwk	2
s255.align.1.msl.msl.nwk	4
s256.align.1.msl.msl.nwk	6
s257.align.1.msl.msl.nwk	4
s258.align.1.msl.msl.nwk	2
s259.align.1.msl.msl.nwk	2
s260.align.1.msl.msl.nwk	4
s261.align.1.msl.msl.nwk	2
s262.align.1.msl.msl.nwk	6
s263.align.1.msl.msl.nwk	0
s264.align.1.msl.msl.nwk	12
s265.align.1.msl.msl.nwk	4
s266.align.1.msl.msl.nwk	6
s267.align.1.msl.msl.nwk	0
s268.align.1.msl.msl.nwk	0
s269.align.1.msl.msl.nwk	8
s270.align.1.msl.msl.nwk	4
s271.align.1.msl.msl.nwk	4
s272.align.1.msl.msl.nwk	4
s273.align.1.msl.msl.nwk	8
s274.align.1.msl.msl.nwk	6
s275.align.1.msl.msl.nwk	6
s276.align.1.msl.msl.nwk	4
s277.align.1.msl.msl.nwk	2
s278.align.1.msl.msl.nwk	6
s279.align.1.msl.msl.nwk	4
s280.align.1.msl.msl.nwk	2
s281.align.1.msl.msl.nwk	4
s282.align.1.msl.msl.nwk	2
s283.align.1.msl.msl.nwk	2
s284.align.1.msl.msl.nwk	4
s285.align.1.msl.msl.nwk	0
s286.align.1.msl.msl.nwk	6
s287.align.1.msl.msl.nwk	4
s288.align.1.msl.msl.nwk	6
s289.align.1.msl.msl.nwk	2
s290.align.1.msl.msl.nwk	4
s291.align.1.msl.msl.nwk	2
s292.align.1.msl.msl.nwk	0
s293.align.1.msl.msl.nwk	4
s294.align.1.msl.msl.nwk	8
s295.align.1.msl.msl.nwk	2
s296.align.1.msl.msl.nwk	4
s297.align.1.msl.msl.nwk	6
s298.align.1.msl.msl.nwk	4
s299.align.1.msl.msl.nwk	2
s300.align.1.msl.msl.nwk	2
