Reference tree: ../data/appbio11/asymmetric_1.0/asymmetric_1.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.output.nwk	6
s002.align.1.msl.output.nwk	12
s003.align.1.msl.output.nwk	16
s004.align.1.msl.output.nwk	10
s005.align.1.msl.output.nwk	10
s006.align.1.msl.output.nwk	6
s007.align.1.msl.output.nwk	14
s008.align.1.msl.output.nwk	12
s009.align.1.msl.output.nwk	8
s010.align.1.msl.output.nwk	12
s011.align.1.msl.output.nwk	6
s012.align.1.msl.output.nwk	16
s013.align.1.msl.output.nwk	10
s014.align.1.msl.output.nwk	8
s015.align.1.msl.output.nwk	14
s016.align.1.msl.output.nwk	10
s017.align.1.msl.output.nwk	8
s018.align.1.msl.output.nwk	4
s019.align.1.msl.output.nwk	6
s020.align.1.msl.output.nwk	4
s021.align.1.msl.output.nwk	14
s022.align.1.msl.output.nwk	12
s023.align.1.msl.output.nwk	12
s024.align.1.msl.output.nwk	10
s025.align.1.msl.output.nwk	10
s026.align.1.msl.output.nwk	10
s027.align.1.msl.output.nwk	10
s028.align.1.msl.output.nwk	12
s029.align.1.msl.output.nwk	6
s030.align.1.msl.output.nwk	10
s031.align.1.msl.output.nwk	14
s032.align.1.msl.output.nwk	8
s033.align.1.msl.output.nwk	4
s034.align.1.msl.output.nwk	10
s035.align.1.msl.output.nwk	12
s036.align.1.msl.output.nwk	8
s037.align.1.msl.output.nwk	10
s038.align.1.msl.output.nwk	8
s039.align.1.msl.output.nwk	6
s040.align.1.msl.output.nwk	6
s041.align.1.msl.output.nwk	12
s042.align.1.msl.output.nwk	8
s043.align.1.msl.output.nwk	8
s044.align.1.msl.output.nwk	8
s045.align.1.msl.output.nwk	8
s046.align.1.msl.output.nwk	12
s047.align.1.msl.output.nwk	10
s048.align.1.msl.output.nwk	12
s049.align.1.msl.output.nwk	10
s050.align.1.msl.output.nwk	12
s051.align.1.msl.output.nwk	12
s052.align.1.msl.output.nwk	8
s053.align.1.msl.output.nwk	10
s054.align.1.msl.output.nwk	8
s055.align.1.msl.output.nwk	4
s056.align.1.msl.output.nwk	8
s057.align.1.msl.output.nwk	8
s058.align.1.msl.output.nwk	8
s059.align.1.msl.output.nwk	10
s060.align.1.msl.output.nwk	6
s061.align.1.msl.output.nwk	8
s062.align.1.msl.output.nwk	2
s063.align.1.msl.output.nwk	6
s064.align.1.msl.output.nwk	8
s065.align.1.msl.output.nwk	12
s066.align.1.msl.output.nwk	12
s067.align.1.msl.output.nwk	6
s068.align.1.msl.output.nwk	18
s069.align.1.msl.output.nwk	10
s070.align.1.msl.output.nwk	8
s071.align.1.msl.output.nwk	8
s072.align.1.msl.output.nwk	12
s073.align.1.msl.output.nwk	6
s074.align.1.msl.output.nwk	12
s075.align.1.msl.output.nwk	4
s076.align.1.msl.output.nwk	6
s077.align.1.msl.output.nwk	12
