Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.msl.nwk	6
s002.align.1.msl.msl.nwk	6
s003.align.1.msl.msl.nwk	4
s004.align.1.msl.msl.nwk	4
s005.align.1.msl.msl.nwk	8
s006.align.1.msl.msl.nwk	6
s007.align.1.msl.msl.nwk	2
s008.align.1.msl.msl.nwk	6
s009.align.1.msl.msl.nwk	4
s010.align.1.msl.msl.nwk	4
s011.align.1.msl.msl.nwk	4
s012.align.1.msl.msl.nwk	4
s013.align.1.msl.msl.nwk	8
s014.align.1.msl.msl.nwk	6
s015.align.1.msl.msl.nwk	6
s016.align.1.msl.msl.nwk	8
s017.align.1.msl.msl.nwk	10
s018.align.1.msl.msl.nwk	6
s019.align.1.msl.msl.nwk	2
s020.align.1.msl.msl.nwk	10
s021.align.1.msl.msl.nwk	2
s022.align.1.msl.msl.nwk	6
s023.align.1.msl.msl.nwk	6
s024.align.1.msl.msl.nwk	4
s025.align.1.msl.msl.nwk	6
s026.align.1.msl.msl.nwk	10
s027.align.1.msl.msl.nwk	8
s028.align.1.msl.msl.nwk	0
s029.align.1.msl.msl.nwk	10
s030.align.1.msl.msl.nwk	6
s031.align.1.msl.msl.nwk	4
s032.align.1.msl.msl.nwk	4
s033.align.1.msl.msl.nwk	2
s034.align.1.msl.msl.nwk	6
s035.align.1.msl.msl.nwk	6
s036.align.1.msl.msl.nwk	4
s037.align.1.msl.msl.nwk	8
s038.align.1.msl.msl.nwk	4
s039.align.1.msl.msl.nwk	2
s040.align.1.msl.msl.nwk	10
s041.align.1.msl.msl.nwk	6
s042.align.1.msl.msl.nwk	8
s043.align.1.msl.msl.nwk	4
s044.align.1.msl.msl.nwk	2
s045.align.1.msl.msl.nwk	0
s046.align.1.msl.msl.nwk	4
s047.align.1.msl.msl.nwk	14
s048.align.1.msl.msl.nwk	2
s049.align.1.msl.msl.nwk	4
s050.align.1.msl.msl.nwk	4
s051.align.1.msl.msl.nwk	2
s052.align.1.msl.msl.nwk	10
s053.align.1.msl.msl.nwk	6
s054.align.1.msl.msl.nwk	4
s055.align.1.msl.msl.nwk	12
s056.align.1.msl.msl.nwk	0
s057.align.1.msl.msl.nwk	8
s058.align.1.msl.msl.nwk	6
s059.align.1.msl.msl.nwk	0
s060.align.1.msl.msl.nwk	6
s061.align.1.msl.msl.nwk	8
s062.align.1.msl.msl.nwk	10
s063.align.1.msl.msl.nwk	6
s064.align.1.msl.msl.nwk	4
s065.align.1.msl.msl.nwk	0
s066.align.1.msl.msl.nwk	2
s067.align.1.msl.msl.nwk	2
s068.align.1.msl.msl.nwk	10
s069.align.1.msl.msl.nwk	4
s070.align.1.msl.msl.nwk	6
s071.align.1.msl.msl.nwk	10
s072.align.1.msl.msl.nwk	10
