Reference tree: ../data/appbio11/asymmetric_2.0/asymmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s165.align.1.msl.msl.nwk	6
s166.align.1.msl.msl.nwk	10
s167.align.1.msl.msl.nwk	8
s168.align.1.msl.msl.nwk	10
s169.align.1.msl.msl.nwk	8
s170.align.1.msl.msl.nwk	8
s171.align.1.msl.msl.nwk	12
s172.align.1.msl.msl.nwk	12
s173.align.1.msl.msl.nwk	12
s174.align.1.msl.msl.nwk	10
s175.align.1.msl.msl.nwk	10
s176.align.1.msl.msl.nwk	18
s177.align.1.msl.msl.nwk	10
s178.align.1.msl.msl.nwk	14
s179.align.1.msl.msl.nwk	10
s180.align.1.msl.msl.nwk	6
s181.align.1.msl.msl.nwk	10
s182.align.1.msl.msl.nwk	14
s183.align.1.msl.msl.nwk	8
s184.align.1.msl.msl.nwk	10
s185.align.1.msl.msl.nwk	14
s186.align.1.msl.msl.nwk	12
s187.align.1.msl.msl.nwk	8
s188.align.1.msl.msl.nwk	10
s189.align.1.msl.msl.nwk	14
s190.align.1.msl.msl.nwk	6
s191.align.1.msl.msl.nwk	10
s192.align.1.msl.msl.nwk	8
s193.align.1.msl.msl.nwk	4
s194.align.1.msl.msl.nwk	6
s195.align.1.msl.msl.nwk	10
s196.align.1.msl.msl.nwk	12
s197.align.1.msl.msl.nwk	10
s198.align.1.msl.msl.nwk	10
s199.align.1.msl.msl.nwk	6
s200.align.1.msl.msl.nwk	12
s201.align.1.msl.msl.nwk	12
s202.align.1.msl.msl.nwk	10
s203.align.1.msl.msl.nwk	8
s204.align.1.msl.msl.nwk	12
s205.align.1.msl.msl.nwk	6
s206.align.1.msl.msl.nwk	8
s207.align.1.msl.msl.nwk	18
s208.align.1.msl.msl.nwk	12
s209.align.1.msl.msl.nwk	8
s210.align.1.msl.msl.nwk	8
s211.align.1.msl.msl.nwk	10
s212.align.1.msl.msl.nwk	8
s213.align.1.msl.msl.nwk	14
s214.align.1.msl.msl.nwk	14
s215.align.1.msl.msl.nwk	10
s216.align.1.msl.msl.nwk	12
s217.align.1.msl.msl.nwk	10
s218.align.1.msl.msl.nwk	8
s219.align.1.msl.msl.nwk	10
s220.align.1.msl.msl.nwk	8
s221.align.1.msl.msl.nwk	16
s222.align.1.msl.msl.nwk	10
s223.align.1.msl.msl.nwk	16
s224.align.1.msl.msl.nwk	14
s225.align.1.msl.msl.nwk	14
s226.align.1.msl.msl.nwk	10
s227.align.1.msl.msl.nwk	10
s228.align.1.msl.msl.nwk	6
s229.align.1.msl.msl.nwk	12
s230.align.1.msl.msl.nwk	6
s231.align.1.msl.msl.nwk	14
s232.align.1.msl.msl.nwk	6
s233.align.1.msl.msl.nwk	4
s234.align.1.msl.msl.nwk	12
s235.align.1.msl.msl.nwk	12
s236.align.1.msl.msl.nwk	8
s237.align.1.msl.msl.nwk	12
s238.align.1.msl.msl.nwk	12
s239.align.1.msl.msl.nwk	12
s240.align.1.msl.msl.nwk	16
s241.align.1.msl.msl.nwk	12
s242.align.1.msl.msl.nwk	4
s243.align.1.msl.msl.nwk	12
s244.align.1.msl.msl.nwk	10
s245.align.1.msl.msl.nwk	10
s246.align.1.msl.msl.nwk	10
s247.align.1.msl.msl.nwk	12
s248.align.1.msl.msl.nwk	12
s249.align.1.msl.msl.nwk	12
s250.align.1.msl.msl.nwk	8
s251.align.1.msl.msl.nwk	12
s252.align.1.msl.msl.nwk	6
s253.align.1.msl.msl.nwk	8
s254.align.1.msl.msl.nwk	10
s255.align.1.msl.msl.nwk	12
s256.align.1.msl.msl.nwk	10
s257.align.1.msl.msl.nwk	12
s258.align.1.msl.msl.nwk	10
s259.align.1.msl.msl.nwk	10
s260.align.1.msl.msl.nwk	10
s261.align.1.msl.msl.nwk	10
s262.align.1.msl.msl.nwk	12
s263.align.1.msl.msl.nwk	12
s264.align.1.msl.msl.nwk	8
s265.align.1.msl.msl.nwk	12
s266.align.1.msl.msl.nwk	12
s267.align.1.msl.msl.nwk	8
s268.align.1.msl.msl.nwk	10
s269.align.1.msl.msl.nwk	6
s270.align.1.msl.msl.nwk	16
s271.align.1.msl.msl.nwk	16
s272.align.1.msl.msl.nwk	10
s273.align.1.msl.msl.nwk	14
s274.align.1.msl.msl.nwk	18
s275.align.1.msl.msl.nwk	14
s276.align.1.msl.msl.nwk	8
s277.align.1.msl.msl.nwk	10
s278.align.1.msl.msl.nwk	16
s279.align.1.msl.msl.nwk	12
s280.align.1.msl.msl.nwk	14
s281.align.1.msl.msl.nwk	16
s282.align.1.msl.msl.nwk	14
s283.align.1.msl.msl.nwk	18
s284.align.1.msl.msl.nwk	10
s285.align.1.msl.msl.nwk	10
s286.align.1.msl.msl.nwk	8
s287.align.1.msl.msl.nwk	8
s288.align.1.msl.msl.nwk	10
s289.align.1.msl.msl.nwk	18
s290.align.1.msl.msl.nwk	18
s291.align.1.msl.msl.nwk	16
s292.align.1.msl.msl.nwk	12
s293.align.1.msl.msl.nwk	12
s294.align.1.msl.msl.nwk	12
s295.align.1.msl.msl.nwk	12
s296.align.1.msl.msl.nwk	6
s297.align.1.msl.msl.nwk	8
s298.align.1.msl.msl.nwk	14
s299.align.1.msl.msl.nwk	14
s300.align.1.msl.msl.nwk	10
