Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s174.align.1.msl.output.nwk	6
s175.align.1.msl.output.nwk	10
s176.align.1.msl.output.nwk	2
s177.align.1.msl.output.nwk	8
s178.align.1.msl.output.nwk	8
s179.align.1.msl.output.nwk	10
s180.align.1.msl.output.nwk	4
s181.align.1.msl.output.nwk	8
s182.align.1.msl.output.nwk	6
s183.align.1.msl.output.nwk	6
s184.align.1.msl.output.nwk	2
s185.align.1.msl.output.nwk	8
s186.align.1.msl.output.nwk	12
s187.align.1.msl.output.nwk	12
s188.align.1.msl.output.nwk	6
s189.align.1.msl.output.nwk	10
s190.align.1.msl.output.nwk	6
s191.align.1.msl.output.nwk	6
s192.align.1.msl.output.nwk	6
s193.align.1.msl.output.nwk	2
s194.align.1.msl.output.nwk	12
s195.align.1.msl.output.nwk	6
s196.align.1.msl.output.nwk	2
s197.align.1.msl.output.nwk	2
s198.align.1.msl.output.nwk	6
s199.align.1.msl.output.nwk	6
s200.align.1.msl.output.nwk	14
s201.align.1.msl.output.nwk	2
s202.align.1.msl.output.nwk	4
s203.align.1.msl.output.nwk	10
s204.align.1.msl.output.nwk	4
s205.align.1.msl.output.nwk	10
s206.align.1.msl.output.nwk	2
s207.align.1.msl.output.nwk	8
s208.align.1.msl.output.nwk	6
s209.align.1.msl.output.nwk	4
s210.align.1.msl.output.nwk	10
s211.align.1.msl.output.nwk	6
s212.align.1.msl.output.nwk	6
s213.align.1.msl.output.nwk	4
s214.align.1.msl.output.nwk	0
s215.align.1.msl.output.nwk	10
s216.align.1.msl.output.nwk	8
s217.align.1.msl.output.nwk	6
s218.align.1.msl.output.nwk	12
s219.align.1.msl.output.nwk	12
s220.align.1.msl.output.nwk	6
s221.align.1.msl.output.nwk	8
s222.align.1.msl.output.nwk	10
s223.align.1.msl.output.nwk	2
s224.align.1.msl.output.nwk	8
s225.align.1.msl.output.nwk	6
s226.align.1.msl.output.nwk	2
s227.align.1.msl.output.nwk	6
s228.align.1.msl.output.nwk	6
s229.align.1.msl.output.nwk	2
s230.align.1.msl.output.nwk	12
s231.align.1.msl.output.nwk	6
s232.align.1.msl.output.nwk	4
s233.align.1.msl.output.nwk	6
s234.align.1.msl.output.nwk	10
