Reference tree: appbio11/symmetric_0.5/symmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.txt.nwk	2
s002.align.1.msl.txt.nwk	0
s003.align.1.msl.txt.nwk	6
s004.align.1.msl.txt.nwk	6
s005.align.1.msl.txt.nwk	4
s006.align.1.msl.txt.nwk	6
s007.align.1.msl.txt.nwk	4
s008.align.1.msl.txt.nwk	2
s009.align.1.msl.txt.nwk	6
s010.align.1.msl.txt.nwk	4
s011.align.1.msl.txt.nwk	2
s012.align.1.msl.txt.nwk	8
s013.align.1.msl.txt.nwk	8
s014.align.1.msl.txt.nwk	8
s015.align.1.msl.txt.nwk	2
s016.align.1.msl.txt.nwk	8
s017.align.1.msl.txt.nwk	6
s018.align.1.msl.txt.nwk	2
s019.align.1.msl.txt.nwk	10
s020.align.1.msl.txt.nwk	2
s021.align.1.msl.txt.nwk	8
s022.align.1.msl.txt.nwk	8
s023.align.1.msl.txt.nwk	6
s024.align.1.msl.txt.nwk	6
s025.align.1.msl.txt.nwk	6
s026.align.1.msl.txt.nwk	0
s027.align.1.msl.txt.nwk	4
s028.align.1.msl.txt.nwk	2
s029.align.1.msl.txt.nwk	6
s030.align.1.msl.txt.nwk	6
s031.align.1.msl.txt.nwk	2
s032.align.1.msl.txt.nwk	4
s033.align.1.msl.txt.nwk	6
s034.align.1.msl.txt.nwk	4
s035.align.1.msl.txt.nwk	6
s036.align.1.msl.txt.nwk	8
s037.align.1.msl.txt.nwk	2
s038.align.1.msl.txt.nwk	2
s039.align.1.msl.txt.nwk	0
s040.align.1.msl.txt.nwk	4
s041.align.1.msl.txt.nwk	4
s042.align.1.msl.txt.nwk	8
s043.align.1.msl.txt.nwk	2
s044.align.1.msl.txt.nwk	8
s045.align.1.msl.txt.nwk	4
s046.align.1.msl.txt.nwk	14
s047.align.1.msl.txt.nwk	2
s048.align.1.msl.txt.nwk	2
s049.align.1.msl.txt.nwk	2
s050.align.1.msl.txt.nwk	8
s051.align.1.msl.txt.nwk	8
s052.align.1.msl.txt.nwk	0
s053.align.1.msl.txt.nwk	2
s054.align.1.msl.txt.nwk	4
s055.align.1.msl.txt.nwk	4
s056.align.1.msl.txt.nwk	6
s057.align.1.msl.txt.nwk	8
s058.align.1.msl.txt.nwk	4
s059.align.1.msl.txt.nwk	4
s060.align.1.msl.txt.nwk	8
s061.align.1.msl.txt.nwk	2
s062.align.1.msl.txt.nwk	2
s063.align.1.msl.txt.nwk	6
s064.align.1.msl.txt.nwk	0
s065.align.1.msl.txt.nwk	4
s066.align.1.msl.txt.nwk	10
s067.align.1.msl.txt.nwk	0
s068.align.1.msl.txt.nwk	6
s069.align.1.msl.txt.nwk	2
s070.align.1.msl.txt.nwk	4
s071.align.1.msl.txt.nwk	4
s072.align.1.msl.txt.nwk	4
s073.align.1.msl.txt.nwk	2
s074.align.1.msl.txt.nwk	6
s075.align.1.msl.txt.nwk	2
s076.align.1.msl.txt.nwk	2
s077.align.1.msl.txt.nwk	4
s078.align.1.msl.txt.nwk	8
s079.align.1.msl.txt.nwk	8
s080.align.1.msl.txt.nwk	8
s081.align.1.msl.txt.nwk	6
s082.align.1.msl.txt.nwk	6
s083.align.1.msl.txt.nwk	2
s084.align.1.msl.txt.nwk	4
s085.align.1.msl.txt.nwk	6
s086.align.1.msl.txt.nwk	6
s087.align.1.msl.txt.nwk	8
s088.align.1.msl.txt.nwk	0
s089.align.1.msl.txt.nwk	6
s090.align.1.msl.txt.nwk	12
s091.align.1.msl.txt.nwk	2
s092.align.1.msl.txt.nwk	2
s093.align.1.msl.txt.nwk	10
s094.align.1.msl.txt.nwk	4
s095.align.1.msl.txt.nwk	6
s096.align.1.msl.txt.nwk	10
s097.align.1.msl.txt.nwk	2
s098.align.1.msl.txt.nwk	2
s099.align.1.msl.txt.nwk	6
s100.align.1.msl.txt.nwk	2
s101.align.1.msl.txt.nwk	8
s102.align.1.msl.txt.nwk	4
s103.align.1.msl.txt.nwk	4
s104.align.1.msl.txt.nwk	4
s105.align.1.msl.txt.nwk	4
s106.align.1.msl.txt.nwk	2
s107.align.1.msl.txt.nwk	6
s108.align.1.msl.txt.nwk	6
s109.align.1.msl.txt.nwk	6
s110.align.1.msl.txt.nwk	6
s111.align.1.msl.txt.nwk	4
s112.align.1.msl.txt.nwk	0
s113.align.1.msl.txt.nwk	4
s114.align.1.msl.txt.nwk	4
s115.align.1.msl.txt.nwk	4
s116.align.1.msl.txt.nwk	12
s117.align.1.msl.txt.nwk	4
s118.align.1.msl.txt.nwk	4
s119.align.1.msl.txt.nwk	6
s120.align.1.msl.txt.nwk	2
s121.align.1.msl.txt.nwk	8
s122.align.1.msl.txt.nwk	2
s123.align.1.msl.txt.nwk	4
s124.align.1.msl.txt.nwk	6
s125.align.1.msl.txt.nwk	4
s126.align.1.msl.txt.nwk	6
s127.align.1.msl.txt.nwk	8
s128.align.1.msl.txt.nwk	8
s129.align.1.msl.txt.nwk	2
s130.align.1.msl.txt.nwk	2
s131.align.1.msl.txt.nwk	4
s132.align.1.msl.txt.nwk	2
s133.align.1.msl.txt.nwk	8
s134.align.1.msl.txt.nwk	6
s135.align.1.msl.txt.nwk	6
s136.align.1.msl.txt.nwk	4
s137.align.1.msl.txt.nwk	2
s138.align.1.msl.txt.nwk	6
s139.align.1.msl.txt.nwk	2
s140.align.1.msl.txt.nwk	2
s141.align.1.msl.txt.nwk	2
s142.align.1.msl.txt.nwk	4
s143.align.1.msl.txt.nwk	10
s144.align.1.msl.txt.nwk	6
s145.align.1.msl.txt.nwk	8
s146.align.1.msl.txt.nwk	2
s147.align.1.msl.txt.nwk	2
s148.align.1.msl.txt.nwk	8
s149.align.1.msl.txt.nwk	8
s150.align.1.msl.txt.nwk	4
s151.align.1.msl.txt.nwk	6
s152.align.1.msl.txt.nwk	6
s153.align.1.msl.txt.nwk	2
s154.align.1.msl.txt.nwk	4
s155.align.1.msl.txt.nwk	8
s156.align.1.msl.txt.nwk	4
s157.align.1.msl.txt.nwk	4
s158.align.1.msl.txt.nwk	2
s159.align.1.msl.txt.nwk	4
s160.align.1.msl.txt.nwk	6
s161.align.1.msl.txt.nwk	2
s162.align.1.msl.txt.nwk	4
s163.align.1.msl.txt.nwk	6
s164.align.1.msl.txt.nwk	8
s165.align.1.msl.txt.nwk	6
s166.align.1.msl.txt.nwk	8
s167.align.1.msl.txt.nwk	10
s168.align.1.msl.txt.nwk	6
s169.align.1.msl.txt.nwk	0
s170.align.1.msl.txt.nwk	0
s171.align.1.msl.txt.nwk	6
s172.align.1.msl.txt.nwk	6
s173.align.1.msl.txt.nwk	6
s174.align.1.msl.txt.nwk	6
