Reference tree: ../data/appbio11/symmetric_1.0/symmetric_1.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.output.nwk	8
s002.align.1.msl.output.nwk	4
s003.align.1.msl.output.nwk	6
s004.align.1.msl.output.nwk	8
s005.align.1.msl.output.nwk	8
s006.align.1.msl.output.nwk	8
s007.align.1.msl.output.nwk	6
s008.align.1.msl.output.nwk	8
s009.align.1.msl.output.nwk	4
s010.align.1.msl.output.nwk	6
s011.align.1.msl.output.nwk	6
s012.align.1.msl.output.nwk	6
s013.align.1.msl.output.nwk	8
s014.align.1.msl.output.nwk	8
s015.align.1.msl.output.nwk	2
s016.align.1.msl.output.nwk	8
s017.align.1.msl.output.nwk	4
s018.align.1.msl.output.nwk	4
s019.align.1.msl.output.nwk	2
s020.align.1.msl.output.nwk	4
s021.align.1.msl.output.nwk	2
s022.align.1.msl.output.nwk	0
s023.align.1.msl.output.nwk	4
s024.align.1.msl.output.nwk	4
s025.align.1.msl.output.nwk	10
s026.align.1.msl.output.nwk	4
s027.align.1.msl.output.nwk	4
s028.align.1.msl.output.nwk	0
s029.align.1.msl.output.nwk	6
s030.align.1.msl.output.nwk	4
s031.align.1.msl.output.nwk	0
s032.align.1.msl.output.nwk	6
s033.align.1.msl.output.nwk	8
s034.align.1.msl.output.nwk	0
s035.align.1.msl.output.nwk	6
s036.align.1.msl.output.nwk	4
s037.align.1.msl.output.nwk	6
s038.align.1.msl.output.nwk	6
s039.align.1.msl.output.nwk	6
s040.align.1.msl.output.nwk	4
s041.align.1.msl.output.nwk	2
s042.align.1.msl.output.nwk	4
s043.align.1.msl.output.nwk	4
s044.align.1.msl.output.nwk	6
s045.align.1.msl.output.nwk	6
s046.align.1.msl.output.nwk	4
s047.align.1.msl.output.nwk	4
s048.align.1.msl.output.nwk	4
s049.align.1.msl.output.nwk	4
s050.align.1.msl.output.nwk	6
s051.align.1.msl.output.nwk	6
s052.align.1.msl.output.nwk	0
s053.align.1.msl.output.nwk	4
s054.align.1.msl.output.nwk	4
s055.align.1.msl.output.nwk	4
