Reference tree: ../data/appbio11/symmetric_0.5/symmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.output.nwk	2
s002.align.1.msl.output.nwk	6
s003.align.1.msl.output.nwk	4
s004.align.1.msl.output.nwk	4
s005.align.1.msl.output.nwk	4
s006.align.1.msl.output.nwk	6
s007.align.1.msl.output.nwk	6
s008.align.1.msl.output.nwk	2
s009.align.1.msl.output.nwk	8
s010.align.1.msl.output.nwk	6
s011.align.1.msl.output.nwk	4
s012.align.1.msl.output.nwk	4
s013.align.1.msl.output.nwk	4
s014.align.1.msl.output.nwk	8
s015.align.1.msl.output.nwk	4
s016.align.1.msl.output.nwk	2
s017.align.1.msl.output.nwk	4
s018.align.1.msl.output.nwk	6
s019.align.1.msl.output.nwk	6
s020.align.1.msl.output.nwk	6
s021.align.1.msl.output.nwk	4
s022.align.1.msl.output.nwk	6
s023.align.1.msl.output.nwk	4
s024.align.1.msl.output.nwk	4
s025.align.1.msl.output.nwk	4
s026.align.1.msl.output.nwk	2
s027.align.1.msl.output.nwk	4
s028.align.1.msl.output.nwk	2
s029.align.1.msl.output.nwk	4
s030.align.1.msl.output.nwk	4
s031.align.1.msl.output.nwk	2
s032.align.1.msl.output.nwk	2
s033.align.1.msl.output.nwk	0
s034.align.1.msl.output.nwk	2
s035.align.1.msl.output.nwk	8
s036.align.1.msl.output.nwk	2
s037.align.1.msl.output.nwk	4
s038.align.1.msl.output.nwk	0
s039.align.1.msl.output.nwk	4
s040.align.1.msl.output.nwk	4
s041.align.1.msl.output.nwk	6
s042.align.1.msl.output.nwk	4
s043.align.1.msl.output.nwk	4
s044.align.1.msl.output.nwk	6
s045.align.1.msl.output.nwk	4
s046.align.1.msl.output.nwk	6
s047.align.1.msl.output.nwk	4
s048.align.1.msl.output.nwk	2
s049.align.1.msl.output.nwk	4
s050.align.1.msl.output.nwk	6
s051.align.1.msl.output.nwk	0
s052.align.1.msl.output.nwk	2
s053.align.1.msl.output.nwk	0
s054.align.1.msl.output.nwk	4
s055.align.1.msl.output.nwk	4
s056.align.1.msl.output.nwk	4
s057.align.1.msl.output.nwk	4
s058.align.1.msl.output.nwk	2
s059.align.1.msl.output.nwk	2
s060.align.1.msl.output.nwk	8
s061.align.1.msl.output.nwk	4
s062.align.1.msl.output.nwk	6
s063.align.1.msl.output.nwk	2
s064.align.1.msl.output.nwk	4
s065.align.1.msl.output.nwk	4
s066.align.1.msl.output.nwk	0
s067.align.1.msl.output.nwk	2
s068.align.1.msl.output.nwk	8
s069.align.1.msl.output.nwk	2
s070.align.1.msl.output.nwk	4
s071.align.1.msl.output.nwk	4
s072.align.1.msl.output.nwk	0
s073.align.1.msl.output.nwk	0
s074.align.1.msl.output.nwk	4
s075.align.1.msl.output.nwk	2
s076.align.1.msl.output.nwk	2
s077.align.1.msl.output.nwk	2
s078.align.1.msl.output.nwk	8
s079.align.1.msl.output.nwk	4
s080.align.1.msl.output.nwk	8
s081.align.1.msl.output.nwk	4
s082.align.1.msl.output.nwk	4
s083.align.1.msl.output.nwk	2
s084.align.1.msl.output.nwk	6
s085.align.1.msl.output.nwk	6
s086.align.1.msl.output.nwk	2
s087.align.1.msl.output.nwk	4
s088.align.1.msl.output.nwk	4
s089.align.1.msl.output.nwk	4
