Reference tree: ../data/appbio11/asymmetric_0.5/asymmetric_0.5.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s001.align.1.msl.msl.nwk	6
s002.align.1.msl.msl.nwk	8
s003.align.1.msl.msl.nwk	6
s004.align.1.msl.msl.nwk	6
s005.align.1.msl.msl.nwk	6
s006.align.1.msl.msl.nwk	12
s007.align.1.msl.msl.nwk	8
s008.align.1.msl.msl.nwk	8
s009.align.1.msl.msl.nwk	6
s010.align.1.msl.msl.nwk	8
s011.align.1.msl.msl.nwk	4
s012.align.1.msl.msl.nwk	8
s013.align.1.msl.msl.nwk	6
s014.align.1.msl.msl.nwk	6
s015.align.1.msl.msl.nwk	10
s016.align.1.msl.msl.nwk	8
s017.align.1.msl.msl.nwk	4
s018.align.1.msl.msl.nwk	12
s019.align.1.msl.msl.nwk	6
s020.align.1.msl.msl.nwk	6
s021.align.1.msl.msl.nwk	4
s022.align.1.msl.msl.nwk	8
s023.align.1.msl.msl.nwk	8
s024.align.1.msl.msl.nwk	10
s025.align.1.msl.msl.nwk	6
s026.align.1.msl.msl.nwk	8
s027.align.1.msl.msl.nwk	2
s028.align.1.msl.msl.nwk	10
s029.align.1.msl.msl.nwk	10
s030.align.1.msl.msl.nwk	8
s031.align.1.msl.msl.nwk	6
s032.align.1.msl.msl.nwk	8
s033.align.1.msl.msl.nwk	8
s034.align.1.msl.msl.nwk	8
s035.align.1.msl.msl.nwk	8
s036.align.1.msl.msl.nwk	6
s037.align.1.msl.msl.nwk	4
s038.align.1.msl.msl.nwk	10
s039.align.1.msl.msl.nwk	10
s040.align.1.msl.msl.nwk	4
s041.align.1.msl.msl.nwk	6
s042.align.1.msl.msl.nwk	6
s043.align.1.msl.msl.nwk	4
s044.align.1.msl.msl.nwk	14
s045.align.1.msl.msl.nwk	8
s046.align.1.msl.msl.nwk	10
s047.align.1.msl.msl.nwk	4
s048.align.1.msl.msl.nwk	4
s049.align.1.msl.msl.nwk	4
s050.align.1.msl.msl.nwk	4
s051.align.1.msl.msl.nwk	10
s052.align.1.msl.msl.nwk	12
s053.align.1.msl.msl.nwk	8
s054.align.1.msl.msl.nwk	8
s055.align.1.msl.msl.nwk	8
s056.align.1.msl.msl.nwk	6
s057.align.1.msl.msl.nwk	12
s058.align.1.msl.msl.nwk	6
s059.align.1.msl.msl.nwk	10
s060.align.1.msl.msl.nwk	8
s061.align.1.msl.msl.nwk	8
s062.align.1.msl.msl.nwk	6
s063.align.1.msl.msl.nwk	10
s064.align.1.msl.msl.nwk	8
s065.align.1.msl.msl.nwk	8
s066.align.1.msl.msl.nwk	6
s067.align.1.msl.msl.nwk	10
s068.align.1.msl.msl.nwk	10
s069.align.1.msl.msl.nwk	8
s070.align.1.msl.msl.nwk	6
s071.align.1.msl.msl.nwk	8
