Reference tree: ../data/appbio11/symmetric_2.0/symmetric_2.0.tree
treefilename	Symmetric_difference
Euclidian_distance	Robinson_Foulds_distance
s281.align.1.msl.nwk	4
s189.align.1.msl.nwk	6
s268.align.1.msl.nwk	6
s225.align.1.msl.nwk	4
s038.align.1.msl.nwk	8
s284.align.1.msl.nwk	6
s205.align.1.msl.nwk	10
s145.align.1.msl.nwk	10
s172.align.1.msl.nwk	4
s222.align.1.msl.nwk	12
s011.align.1.msl.nwk	10
s164.align.1.msl.nwk	6
s230.align.1.msl.nwk	6
s153.align.1.msl.nwk	10
s033.align.1.msl.nwk	8
s261.align.1.msl.nwk	10
s143.align.1.msl.nwk	6
s001.align.1.msl.nwk	6
s060.align.1.msl.nwk	2
s239.align.1.msl.nwk	12
s265.align.1.msl.nwk	6
s010.align.1.msl.nwk	4
s210.align.1.msl.nwk	10
s097.align.1.msl.nwk	4
s131.align.1.msl.nwk	10
s043.align.1.msl.nwk	6
s155.align.1.msl.nwk	8
s277.align.1.msl.nwk	4
s024.align.1.msl.nwk	8
s151.align.1.msl.nwk	8
s192.align.1.msl.nwk	12
s036.align.1.msl.nwk	6
s138.align.1.msl.nwk	2
s139.align.1.msl.nwk	14
s200.align.1.msl.nwk	14
s098.align.1.msl.nwk	12
s021.align.1.msl.nwk	8
s166.align.1.msl.nwk	6
s158.align.1.msl.nwk	8
s207.align.1.msl.nwk	4
s085.align.1.msl.nwk	10
s171.align.1.msl.nwk	10
s152.align.1.msl.nwk	10
s236.align.1.msl.nwk	2
s185.align.1.msl.nwk	8
s006.align.1.msl.nwk	2
s255.align.1.msl.nwk	8
s140.align.1.msl.nwk	6
s168.align.1.msl.nwk	12
s154.align.1.msl.nwk	10
s130.align.1.msl.nwk	2
s090.align.1.msl.nwk	10
s178.align.1.msl.nwk	8
s116.align.1.msl.nwk	6
s026.align.1.msl.nwk	4
s266.align.1.msl.nwk	14
s248.align.1.msl.nwk	10
s241.align.1.msl.nwk	10
s183.align.1.msl.nwk	6
s052.align.1.msl.nwk	16
s045.align.1.msl.nwk	14
s048.align.1.msl.nwk	2
s218.align.1.msl.nwk	10
s005.align.1.msl.nwk	4
s262.align.1.msl.nwk	10
s203.align.1.msl.nwk	4
s287.align.1.msl.nwk	6
s242.align.1.msl.nwk	10
s238.align.1.msl.nwk	8
s027.align.1.msl.nwk	6
s286.align.1.msl.nwk	0
s059.align.1.msl.nwk	2
s213.align.1.msl.nwk	6
s041.align.1.msl.nwk	6
s231.align.1.msl.nwk	4
s170.align.1.msl.nwk	2
s176.align.1.msl.nwk	6
s224.align.1.msl.nwk	4
s135.align.1.msl.nwk	10
s227.align.1.msl.nwk	6
s191.align.1.msl.nwk	2
s030.align.1.msl.nwk	10
s007.align.1.msl.nwk	8
s091.align.1.msl.nwk	6
s114.align.1.msl.nwk	4
s149.align.1.msl.nwk	6
s144.align.1.msl.nwk	8
s083.align.1.msl.nwk	10
s295.align.1.msl.nwk	12
s074.align.1.msl.nwk	6
s202.align.1.msl.nwk	2
s061.align.1.msl.nwk	8
s259.align.1.msl.nwk	6
s132.align.1.msl.nwk	10
s271.align.1.msl.nwk	8
s067.align.1.msl.nwk	4
s055.align.1.msl.nwk	12
s037.align.1.msl.nwk	8
s070.align.1.msl.nwk	10
s234.align.1.msl.nwk	10
s072.align.1.msl.nwk	10
s240.align.1.msl.nwk	6
s053.align.1.msl.nwk	6
s137.align.1.msl.nwk	10
s289.align.1.msl.nwk	8
